subject,accuracy,kappa,f1_Left Hand,f1_Right Hand,f1_Feet,f1_Tongue
1,0.6597222222222222,0.5462962962962963,0.6545454545454545,0.7591240875912408,0.5309734513274337,0.6708074534161491
2,0.2986111111111111,0.06481481481481477,0.43703703703703706,0.21818181818181817,0.06976744186046512,0.21818181818181817
3,0.5868055555555556,0.44907407407407407,0.6405228758169934,0.6991869918699187,0.23529411764705882,0.6565656565656566
4,0.4027777777777778,0.20370370370370372,0.3548387096774194,0.5730337078651685,0.3626373626373626,0.21739130434782608
5,0.2569444444444444,0.0092592592592593,0.40350877192982454,0.1111111111111111,0.0,0.0
6,0.3506944444444444,0.1342592592592593,0.20930232558139536,0.4444444444444444,0.15789473684210525,0.4392523364485981
7,0.3472222222222222,0.12962962962962965,0.45414847161572053,0.4083769633507853,0.05194805194805195,0.17721518987341772
8,0.4965277777777778,0.3287037037037037,0.6129032258064516,0.5688888888888889,0.23076923076923078,0.4715447154471545
9,0.5520833333333334,0.4027777777777778,0.6617647058823529,0.5135135135135135,0.3252032520325203,0.6627218934911243
